locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_计算机工程_
cmn-Latn-CN	_jìsuànjī gōngchéng_
dan-Latn-DK	
deu-Latn-DE	_technische Informatik_
eng-Latn-US	_computer engineering_
fin-Latn-FI	
fra-Latn-FR	_génie [m] informatique_, _ingénierie informatique_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_けいさんきこうがく_、_コンピュータこうがく_
jpn-Jpan-JP	_計算機工学_、_コンピュータ工学_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_инжене́рией компью́терных систе́м_, _компью́терная инжене́рия_
spa-Latn-ES	
swe-Latn-SE	
zxx-Zsym-ZZ	
