locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	交流配接器、交流适配器、交流转接器	
cmn-Latn-CN	jiāoliú pèijiēqì, jiāoliú shìpèiqì, jiāoliú zhuǎnhuànqì	
dan-Latn-DK		
deu-Latn-DE	Netzteil [n]	
eng-Latn-US	AC adapter, power adapter, power brick, wall charger, wall wart	
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	エーシーアダプタ	
jpn-Jpan-JP	ACアダプタ	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
