locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	可再生能源	
cmn-Latn-CN	kězàishēng néngyuán	
dan-Latn-DK		
deu-Latn-DE	alternative Energie, erneuerbare Energie, regenerative Energie	
eng-Latn-US	renewable energy	
fin-Latn-FI		
fra-Latn-FR	énergie renouvelable	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	さいせいかのうエネルギー	
jpn-Jpan-JP	再生可能エネルギー	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	возобновля́емая эне́ргия, регенерати́вная эне́ргия	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
