locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	操动件、促动器、驱动器、驱动件、执行机构、执行器、致动器	
cmn-Latn-CN	cāodòng jiàn, cùdòng qì, qūdòng qì, qūdòng jiàn, zhíxíng jīgòu, zhíxíng qì, zhìdòng qì	
dan-Latn-DK		
deu-Latn-DE	Aktor, Aktuator	
eng-Latn-US	actuator	
fin-Latn-FI		
fra-Latn-FR	actionneur	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	アクチュエータ	
jpn-Jpan-JP	アクチュエータ	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
