locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	谢费尔竖线	
cmn-Latn-CN	Xièfèi’ěr shùxiàn	
dan-Latn-DK		
deu-Latn-DE	shefferscher Strich	
eng-Latn-US	Sheffer stroke, alternative denial	logical connective, logical operator, sentential connective, sentential operator
fin-Latn-FI		
fra-Latn-FR	barre [f] de Sheffer	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ひていろんりせき、シェファーのぼうきごう	
jpn-Jpan-JP	否定論理積、シェファーの棒記号	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	штрих Ше́ффера	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
