locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	合取、与	
cmn-Latn-CN	héqǔ, yǔ	
dan-Latn-DK		
deu-Latn-DE	Konjunktion	
eng-Latn-US	conjunction	logical connective, logical operator, sentential connective, sentential operator
fin-Latn-FI		
fra-Latn-FR	conjonction	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ろんりせき	
jpn-Jpan-JP	論理積	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	конъю́нкция	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ	∧
