locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	逆	
cmn-Latn-CN	nì	
dan-Latn-DK		
deu-Latn-DE	Gegenteil [n]	
eng-Latn-US	converse	logical connective, logical operator, sentential connective, sentential operator
fin-Latn-FI		
fra-Latn-FR	implication réciproque	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぎゃく	
jpn-Jpan-JP	逆	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	обра́тная теоре́ма, обра́тное утвержде́ние	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ	←
