locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	互斥或、异或	
cmn-Latn-CN	hùchì huò, yì huò	
dan-Latn-DK		
deu-Latn-DE	Alternation, Antivalenz, Kontrajunktion, Kontravalenz, ausschließende Disjunktion	
eng-Latn-US	exclusive disjunction, exclusive or	logical connective, logical operator, sentential connective, sentential operator
fin-Latn-FI		
fra-Latn-FR	disjonction exclusive, ou exclusif	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	はいたてきろんりわ	
jpn-Jpan-JP	排他的論理和	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	исключа́ющее «или»	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ	↮
