locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	当且仅当	
cmn-Latn-CN	dāng qiě jǐn dāng	
dan-Latn-DK		
deu-Latn-DE		
eng-Latn-US	if and only if, material equivalence	logical connective, logical operator, sentential connective, sentential operator
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	とうか、どうち	
jpn-Jpan-JP	等価、同値	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	тогда́ и то́лько тогда́	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ	↔, ⇔, ≡, ⟺
