locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	排中律	
cmn-Latn-CN	páizhōng lǜ	
dan-Latn-DK		
deu-Latn-DE	Satz [m] vom ausgeschlossenen Dritten	
eng-Latn-US	law of excluded middle, law of the excluded third, principle of excluded middle, principle of the excluded third	law of thought
fin-Latn-FI		
fra-Latn-FR	principe [m] du tiers exclu	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	はいちゅうりつ	
jpn-Jpan-JP	排中律	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	зако́н исключённого тре́тьего	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
