locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	同一律	
cmn-Latn-CN	tóngyī lǜ	
dan-Latn-DK		
deu-Latn-DE	Identitätsprinzip [n]	
eng-Latn-US	law of identity, principle of identity	law of thought
fin-Latn-FI		
fra-Latn-FR	principe [m] d’identité	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	どういちりつ、どういつげんり	
jpn-Jpan-JP	同一律、同一原理	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зако́н то́ждества	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
