locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	双条件	
cmn-Latn-CN	shuāng tiáojiàn	
dan-Latn-DK		
deu-Latn-DE	Bikonditional [n]	
eng-Latn-US	material biconditional	logical connective, logical operator, sentential connective, sentential operator
fin-Latn-FI		
fra-Latn-FR	biconditionnel, biconditionnel matériel	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP		
jpn-Jpan-JP		
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ	↔
