locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	实质条件	
cmn-Latn-CN	shízhì tiáojiàn	
dan-Latn-DK		
deu-Latn-DE	Konditional [m], Subjunktion, materiale Implikation	
eng-Latn-US	material conditional, material implication	logical connective, logical operator, sentential connective, sentential operator
fin-Latn-FI		
fra-Latn-FR	conditionnel, implication matérielle	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ろんりほうがん	
jpn-Jpan-JP	論理包含	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	имплика́ция	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ	→
