locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	充足理由律	
cmn-Latn-CN	chōngzú lǐyóu lǜ	
dan-Latn-DK		
deu-Latn-DE	Satz [m] vom zureichenden Grund [m]	
eng-Latn-US	principle of sufficient reason	
fin-Latn-FI		
fra-Latn-FR	principe [f] de raison suffisante	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じゅうそくりゆうりつ	
jpn-Jpan-JP	充足理由律	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	зако́н доста́точного основа́ния	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
