locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	逆元素	
cmn-Latn-CN	nì yuánsù	
dan-Latn-DK		
deu-Latn-DE	inverses Element	
eng-Latn-US	inverse element	identity element, neutral element; operation (mathematics)
fin-Latn-FI		
fra-Latn-FR	élément symétrique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぎゃくげん	
jpn-Jpan-JP	逆元	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	обра́тный элеме́нт	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
