locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	代数方程	
cmn-Latn-CN	dàishù fāngchéng	
dan-Latn-DK		
deu-Latn-DE	algebraische Gleichung	
eng-Latn-US	algebraic equation, polynomial equation	polynomial
fin-Latn-FI		
fra-Latn-FR	équation algébrique, équation polynomiale	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だいすうほうていしき	
jpn-Jpan-JP	代数方程式	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	алгебраи́ческое уравне́ние	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
