locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	被解释变量、反应变量、果变量、响应变量、应变量、依变量、因变量	
cmn-Latn-CN	bèi jiěshì biànliàng, fǎnyìng biànliàng, guǒ biànliàng, xiǎngyìng biànliàng, yìng biànliàng, yī biànliàng, yīn biànliàng	
dan-Latn-DK		
deu-Latn-DE	abhängige Variable	
eng-Latn-US	dependent variable	variable
fin-Latn-FI		
fra-Latn-FR	variable dépendante	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じゅうぞくへんすう	
jpn-Jpan-JP	従属変数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	зави́симая переме́нная	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
