locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	单位元、中立元	
cmn-Latn-CN	dānwèi yuán, zhōnglì yuán	
dan-Latn-DK		
deu-Latn-DE	neutrales Element	
eng-Latn-US	identity element, neutral element	binary operation, dyadic operation; set
fin-Latn-FI		
fra-Latn-FR	élément identité, élément neutre	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	たんいげん、ちゅうりつげん	
jpn-Jpan-JP	単位元、中立元	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	нейтра́льный элеме́нт	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
