locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	不可约多项式	
cmn-Latn-CN	bùkěyuē duōxiàngshì	
dan-Latn-DK		
deu-Latn-DE	irreduzibles Polynom	
eng-Latn-US	irreducible polynomial	factoring, factorization; polynomial
fin-Latn-FI		
fra-Latn-FR	polynôme [m] irréductible	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	きやくたこうしき	
jpn-Jpan-JP	既約多項式	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	неприводимый многочле́н	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
