locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	变量、变数、变项	
cmn-Latn-CN	biàn liàng, biàn shù, biàn xiàng	
dan-Latn-DK		
deu-Latn-DE	Variable	
eng-Latn-US	variable (mathematics)	mathematical object
fin-Latn-FI		
fra-Latn-FR	variable [f]	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	へんすう	
jpn-Jpan-JP	変数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	переме́нная, переме́нная величина́	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
