locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN		
cmn-Latn-CN		
dan-Latn-DK		
deu-Latn-DE	nicht rechtwinkliges Dreieck, schiefwinkliges Dreieck	
eng-Latn-US	oblique triangle	perpenticularity; triangle (polygon)
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	しゃかくさんかくけい、しゃさんかくけい、ひちょっかくさんかくけい	
jpn-Jpan-JP	斜角三角形、斜三角形、非直角三角形	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
