locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	反射（几何）	
cmn-Latn-CN	fǎn shè (jǐ hé)	
dan-Latn-DK		
deu-Latn-DE	Spiegelung (Geometrie)	
eng-Latn-US	reflection (geometry)	
fin-Latn-FI		
fra-Latn-FR	réflexion (géométrie)	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	きょうえい、きょうえいへんかん	
jpn-Jpan-JP	鏡映、鏡映変換	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зерка́льная симме́трия/симметри́я, зерка́льное отраже́ние,  отраже́ние	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
