locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	正切定理	
cmn-Latn-CN	zhèngqiē dìnglǐ	
dan-Latn-DK		
deu-Latn-DE	Regel [f] von Napier, Tangenssatz [m], Tangentensatz [m]	
eng-Latn-US	law of tangents, tangent rule	
fin-Latn-FI		
fra-Latn-FR	loi [f] des tangentes	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	せいせつていり	
jpn-Jpan-JP	正接定理	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	теоре́ма та́нгенсов	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
