locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	柯西中值定理	
cmn-Latn-CN	Kēxī zhōngzhí dìnglǐ	
dan-Latn-DK		
deu-Latn-DE	cauchy’scher Mittelwertsatz	
eng-Latn-US	Cauchy’s mean value theorem, extended mean value theorem	
fin-Latn-FI		
fra-Latn-FR	théorème de la moyenne de Cauchy	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	コーシーのへいきんちていり	
jpn-Jpan-JP	コーシーの平均値定理	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	теоре́ма Коши́ о сре́днем значе́нии	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
