locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	链式法则	
cmn-Latn-CN	liànshì fǎzé	
dan-Latn-DK		
deu-Latn-DE	Kettenregel [f]	
eng-Latn-US	chain rule	
fin-Latn-FI		
fra-Latn-FR	règle de dérivation en chaîne, règle de la chaîne, théorème de dérivation des fonctions composées	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	れんさりつ	
jpn-Jpan-JP	連鎖律	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	пра́вило дифференци́рования сло́жной фу́нкции, цепно́е пра́вило	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
