locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_复分析_
cmn-Latn-CN	_fù fēnxī_
dan-Latn-DK	
deu-Latn-DE	_Funktionentheorie_
eng-Latn-US	_complex analysis_
fin-Latn-FI	
fra-Latn-FR	_analyse [f] complexe_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_ふくそかいせき_
jpn-Jpan-JP	_複素解析_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_ко́мпле́ксный ана́лиз_, _тео́рия фу́нкций ко́мпле́ксного переме́нного_, _тео́рия фу́нкций ко́мпле́ксной переме́нно_
spa-Latn-ES	
swe-Latn-SE	
zxx-Zsym-ZZ	
