locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_布尔代数_、_逻辑代数_
cmn-Latn-CN	_Bù’ěr dàishù_, _luóji dàishù_
dan-Latn-DK	
deu-Latn-DE	_boolesche Algebra_, _boolescher Verband_
eng-Latn-US	_Boolean algebra_
fin-Latn-FI	
fra-Latn-FR	_algèbre [f] de Boole_, _algèbre booléenne_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_ブールそく_、_ブールだいすう_
jpn-Jpan-JP	_ブール束_、_ブール代数_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
