locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	代数、集合域	
cmn-Latn-CN	dài shù, jíhé yù	
dan-Latn-DK		
deu-Latn-DE	Algebra, Mengenalgebra	
eng-Latn-US	field of sets	
fin-Latn-FI		
fra-Latn-FR	algèbre [f] de Boole de parties [f-sg], algèbre [f] d’ensembles [m-pl], anneau booléen unitaire, brièvement algèbre de Boole, clan unitaire, variante corps d’ensembles [m-pl], voire simplement algèbre	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	しゅうごうたい、しゅうごうだいすう、ゆうげんかほうぞく	
jpn-Jpan-JP	集合体、集合代数、有限加法族	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	а́лгебра мно́жеств	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
