locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	罗素悖论	
cmn-Latn-CN	Luósù bèilùn	
dan-Latn-DK		
deu-Latn-DE	Russellsche Antinomie	
eng-Latn-US	Russell’s antinomy, Russell’s paradox	
fin-Latn-FI		
fra-Latn-FR	antinomie de Russell, paradoxe [m] de Russell	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ラッセルのパラドックス	
jpn-Jpan-JP	ラッセルのパラドックス	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	антино́мия Ра́ссела, парадо́кс Ра́ссела	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
