locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	二元运算	
cmn-Latn-CN	èryuán yùnsuàn	
dan-Latn-DK		
deu-Latn-DE	binäre Verknüpfung, zweistellige Verknüpfung	
eng-Latn-US	binary operation, dyadic operation	
fin-Latn-FI		
fra-Latn-FR	opération binaire	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	にこうえんざん	
jpn-Jpan-JP	二項演算	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	бина́рная опера́ция, двуме́стная опера́ция	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
