locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	圆周率	
cmn-Latn-CN	yuánzhōu lǜ	
dan-Latn-DK		
deu-Latn-DE	Archimedes-Konstante [f], Kreiszahl [f], Ludolfsche Zahl, Ludolphsche Zahl	
eng-Latn-US	Archimedes’ constant, pi	circumference; diameter
fin-Latn-FI		
fra-Latn-FR	constante [f] d’Archimède, pi	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	えんしゅうりつ	
jpn-Jpan-JP	円周率	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	пи	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ	π
