locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	自然常数、自然底数、欧拉常数	
cmn-Latn-CN	zìrán chángshù, zìrán dǐshù, Ōulā chángshù	
dan-Latn-DK		
deu-Latn-DE	eulersche Zahl	
eng-Latn-US	Euler’s number, e	mathematical constant
fin-Latn-FI		
fra-Latn-FR	constante [f] de Néper, nombre [m] d’Euler, nombre [m] e	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	オイラーすう、ネイピアすう	
jpn-Jpan-JP	オイラー数、ネイピア数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	число́ e, число́ Э́йлера	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ	e, ھ
