locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	白银比例、白银分割率	
cmn-Latn-CN	báiyín bǐlì, báiyín fěngělǜ	
dan-Latn-DK		
deu-Latn-DE	Silberner Schnitt	
eng-Latn-US	silver mean, silver ratio	ratio; sum
fin-Latn-FI		
fra-Latn-FR	nombre [m] d’argent, proportion d’argent	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	はくぎんひ	
jpn-Jpan-JP	白銀比	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	сере́бряное сече́ние	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ	𝛿_𝑆
