locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	代数数	
cmn-Latn-CN	dàishù shù	
dan-Latn-DK		
deu-Latn-DE	algebraische Zahl	
eng-Latn-US	algebraic number	polynomial; rational number; root of a function, zero of a function
fin-Latn-FI		
fra-Latn-FR	nombre [m] algébrique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だいすうてきすう	
jpn-Jpan-JP	代数的数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	алгебраи́ческое число́	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ	𝔸
