locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_解析数论_
cmn-Latn-CN	_jiěxī shùlùn_
dan-Latn-DK	
deu-Latn-DE	_analytische Zahlentheorie_
eng-Latn-US	_analytic number theory_
fin-Latn-FI	
fra-Latn-FR	_théorie analytique des nombres [m-pl]_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_かいせきすうろん_、_かいせきてきせいすうろん_
jpn-Jpan-JP	_解析数論_、_解析的整数論_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_аналити́ческая тео́рия чи́сел_
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
