locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	农夫算法	
cmn-Latn-CN	nóngfū suànfǎ	
dan-Latn-DK		
deu-Latn-DE	russische Bauernmultiplikation	
eng-Latn-US	Egyptian multiplication, Ethiopian multiplication, Russian multiplication, peasant multiplication	
fin-Latn-FI		
fra-Latn-FR	technique [f] de multiplication dite russe	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP		
jpn-Jpan-JP		
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	древнееги́петское умноже́ние, еги́петское умноже́ние, крестья́нское умноже́ние, ру́сское умноже́ние, эфио́пское умноже́ние	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
