locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	连分数、繁分数	
cmn-Latn-CN	fán fēnshù, lián fēnshù	
dan-Latn-DK		
deu-Latn-DE	Kettenbruch [m]	
eng-Latn-US	continued fraction	integer; iteration; multiplicative inverse, reciprocal
fin-Latn-FI		
fra-Latn-FR	fraction continue	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	れんぶんすう	
jpn-Jpan-JP	連分数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	непреры́вная дробь, цепна́я дробь	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
