locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	帕斯卡计算器、滚轮式加法器	
cmn-Latn-CN	Pàsīkǎ jìsuànqì, gǔnlúnshì jiāfǎqì	
dan-Latn-DK		
deu-Latn-DE	Pascaline	
eng-Latn-US	Pascaline, Pascal’s calculator, arithmetic machine	machine calculator
fin-Latn-FI		
fra-Latn-FR	machine d’arithmétique, pascaline, roue [f] pascaline	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	パスカリン	
jpn-Jpan-JP	パスカリン	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	Паскали́на, суммирующая машина Паска́ля	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
