locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	绝对值、模	
cmn-Latn-CN	juéduì zhí, mó	
dan-Latn-DK		
deu-Latn-DE	Absolutbetrag [m], Absolutwert [m], absoluter Betrag, absoluter Wert	
eng-Latn-US	absolute value, modulus	real number; sign (mathematics)
fin-Latn-FI		
fra-Latn-FR	module [m], valeur absolue	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぜったいち、ぼすう	
jpn-Jpan-JP	絶対値、母数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	абсолю́тная величина́, мо́дуль [м]	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
