locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	四则运算	
cmn-Latn-CN	sìzé yùnsuàn	
dan-Latn-DK		
deu-Latn-DE	Grundrechenarten [f-pl], Grundrechnungsarten [f-pl]	
eng-Latn-US	basic operations	addition; division; multiplication; subtraction
fin-Latn-FI		
fra-Latn-FR	opérations élémentaires	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	しそくえんざん	
jpn-Jpan-JP	四則演算	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	основны́м де́йствиям	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
