locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	十进制小数点	
cmn-Latn-CN	shíjìnzhì xiǎoshùdiǎn	
dan-Latn-DK		
deu-Latn-DE	Dezimaltrennzeichen	
eng-Latn-US	decimal separator	decimal part, fractional part
fin-Latn-FI		
fra-Latn-FR	séparateur décimal	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP		
jpn-Jpan-JP		
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	десяти́чная запята́я, десяти́чная то́чка, десяти́чный раздели́тель	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
