locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	数线、数轴	
cmn-Latn-CN	shù xiàn, shù zhóu	
dan-Latn-DK		
deu-Latn-DE	Zahlengerade, Zahlenstrahl [m]	
eng-Latn-US	number line	line; number (abstract identity)
fin-Latn-FI		
fra-Latn-FR	ligne [f] numérique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	数直線	
jpn-Jpan-JP	すうちょくせん	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	числова́я ось, числова́я пряма́я	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
