locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	记数法、记数系统、数制	
cmn-Latn-CN	jìshù fǎ, jìshù xìtǒng, shù zhì	
dan-Latn-DK		
deu-Latn-DE	Zahlensystem [n] Ziffernsystem [n]	
eng-Latn-US	numeral system	notation
fin-Latn-FI		
fra-Latn-FR	système de numération	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	めいすうほう	
jpn-Jpan-JP	命数法	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	систе́ма счисле́ния	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
