locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	运算次序、运算顺序	
cmn-Latn-CN	yùnsuàn cìxù, yùnsuàn shùnxù	
dan-Latn-DK		
deu-Latn-DE	Operatorpräzedenz, Operatorrangfolge	
eng-Latn-US	operator precedence, order of operation	operand
fin-Latn-FI		
fra-Latn-FR	ordre [m] des opérations [f-pl], priorité des opérations [f-pl]	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	えんざんしのゆうせんじゅんい	
jpn-Jpan-JP	演算子の優先順位	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	приорите́т опера́тора, приорите́т опера́ции	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
