locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	进位计数法、进位制、位值计数法	
cmn-Latn-CN	jìnwèi jìshù fǎ, jìnwèi zhì, wèizhí jìshù fǎ	
dan-Latn-DK		
deu-Latn-DE	Stellenschreibweise	
eng-Latn-US	place-value notation, positional notation, positional numeral system	numeral system
fin-Latn-FI		
fra-Latn-FR	notation positionnelle	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	くらいどりきすうほう	
jpn-Jpan-JP	位取り記数法	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	позиционная систе́ма счисле́ния	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
