locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	有效数位、有效数字	
cmn-Latn-CN	yǒuxiào shùwèi, yǒuxiào shùzì	
dan-Latn-DK		
deu-Latn-DE	signifikante Stellen [f-pl], signifikante Ziffern [f-pl]	
eng-Latn-US	significant digits, significant figures	place-value notation, positional notation, positional numeral system
fin-Latn-FI		
fra-Latn-FR	chiffres significatifs	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ゆうこうすうじ	
jpn-Jpan-JP	有効数字	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
