locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	有限连分数	
cmn-Latn-CN	yǒuxiàn liánfēnshù	
dan-Latn-DK		
deu-Latn-DE	endlicher Kettenbruch	
eng-Latn-US	finite continued fraction, terminated continued fraction	continued fraction
fin-Latn-FI		
fra-Latn-FR	fraction continue finie	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ゆうげんれんぶんすう	
jpn-Jpan-JP	有限連分数	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	коне́чная цепна́я дробь	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
