locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	规矩数、可造数	
cmn-Latn-CN	guījǔ shù, kězào shù	
dan-Latn-DK		
deu-Latn-DE	konstruierbare Zahl	
eng-Latn-US	constructible number	Euclidean construction, classical construction, ruler-and-compass construction, straightedge-and-compass construction; real number
fin-Latn-FI		
fra-Latn-FR	nombre [m] constructible	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP		
jpn-Jpan-JP		
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
