locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	贝叶斯定理	
cmn-Latn-CN	Bèiyèsī dìnglǐ	
dan-Latn-DK		
deu-Latn-DE	Formel [f] von Bayes, Satz [m] von Bayes	
eng-Latn-US	Bayes’ law, Bayes’ rule, Bayes’ theorem	event
fin-Latn-FI		
fra-Latn-FR	théorème de Bayes	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ベイズのていり、ベイズのほうそく	
jpn-Jpan-JP	ベイズの定理、ベイズの法則	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	теоре́ма Ба́йеса, фо́рмула Ба́йеса	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
