locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	二项分布	
cmn-Latn-CN	èrxiàng fēnbù	
dan-Latn-DK		
deu-Latn-DE	Binomialverteilung	
eng-Latn-US	binomial distribution	discrete probability distribution
fin-Latn-FI		
fra-Latn-FR	loi binomiale	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	にこうぶんぷ	
jpn-Jpan-JP	二項分布	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	биномиа́льное распределе́ние	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
