locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	离散概率分布	
cmn-Latn-CN	lísǎn gàilǜ fēnbù	
dan-Latn-DK		
deu-Latn-DE	diskrete Verteilung, diskrete Wahrscheinlichkeitsverteilung	
eng-Latn-US	discrete probability distribution	random variable
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	りさんかくりつぶんぷ、りさんがたかくりつぶんぷ	
jpn-Jpan-JP	離散確率分布、離散型確率分布	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	дискре́тное распределе́ние	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
