locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	独立（概率论）	
cmn-Latn-CN	dú lì (gàilǜ lùn)	
dan-Latn-DK		
deu-Latn-DE	Unabhängigkeit (Wahrscheinlichkeitstheorie)	
eng-Latn-US	independence	; 
fin-Latn-FI		
fra-Latn-FR	indépendance (théorie des probabilités [-pl])	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	どくりつ（かくりつろん）	
jpn-Jpan-JP	独立（確率論）	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	незави́симость (тео́рия вероя́тностей)	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
