locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	大数定律、大数法则、大数律	
cmn-Latn-CN	dàshù dìnglǜ, dàshù fǎzé, dàshù lǜ	
dan-Latn-DK		
deu-Latn-DE	Gesetze der großen Zahlen	
eng-Latn-US	law of large numbers	experiment, trial
fin-Latn-FI		
fra-Latn-FR	loi [f] des grands nombres	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	たいすうのほうそく	
jpn-Jpan-JP	大数の法則	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зако́н бо́льших/больши́х чи́сел	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
