locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	概率分布	
cmn-Latn-CN	gàilǜ fēnbù	
dan-Latn-DK		
deu-Latn-DE	Wahrscheinlichkeitsmaß [n]	
eng-Latn-US	probability distribution	experiment, trial; function
fin-Latn-FI		
fra-Latn-FR	loi [f] de probabilité	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	かくりつぶんぷ	
jpn-Jpan-JP	確率分布	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	распределе́ние вероя́тностей	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
