locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	算术平均数	
cmn-Latn-CN	suànshù píngjūnshù	
dan-Latn-DK		
deu-Latn-DE	arithmetische Mittel, arithmetischer Mittelwert	
eng-Latn-US	arithmetic average, arithmetic mean	sum
fin-Latn-FI		
fra-Latn-FR	moyenne arithmétique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	さんじゅつへいきん、そうかへいきん	
jpn-Jpan-JP	算術平均、相加平均	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	сре́днее арифмети́ческое	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
