locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	粗差、粗大误差、过失误差、毛误差	
cmn-Latn-CN	cū chā, cūdà wùchā, guòshī wùchā, suíjī wùchā	
dan-Latn-DK		
deu-Latn-DE	grober Fehler	
eng-Latn-US	gross error	measurement error, observational error
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	かしつごさ	
jpn-Jpan-JP	過失誤差
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	гру́бая погре́шность	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
