locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	机会误差、随机误差、未定误差、偶然误差	
cmn-Latn-CN	jīhuì wùchā, suíjī wùchā, wèidìng wùchā, ǒurán wùchā	
dan-Latn-DK		
deu-Latn-DE	zugfällige Messabweichung	
eng-Latn-US	random error	measurement error, observational error; randomness
fin-Latn-FI		
fra-Latn-FR	erreur aléatoire	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぐうぜんごさ、ぐうはつごさ	
jpn-Jpan-JP	偶発誤差、偶然誤差	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	случа́йная погре́шность	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
