locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	加性高斯白噪声	
cmn-Latn-CN	jiāxìng Gāosī bái zàoshēng	
dan-Latn-DK		
deu-Latn-DE	additives weißes gaußsches Rauschen	
eng-Latn-US	arithmetic–geometric mean	
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	かさんせいはくしょくがうすざつおん	
jpn-Jpan-JP	加算性白色ガウス雑音	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	аддити́вный бе́лый гауссовский шум	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
