locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	细胞膜、原生质膜、质膜	
cmn-Latn-CN	xìbāo mó, yuánshēngzhì mó, zhì mó	
dan-Latn-DK		
deu-Latn-DE	Plasmalemma, Plasmamembran [f], Zellmembran [f], Zytomembran [f]	
eng-Latn-US	cell membrane, cytoplasmic membrane, plasma membrane	biological membrane, biomembrane; cytoplasm; extracellular space
fin-Latn-FI		
fra-Latn-FR	membrane [f] cytoplasmique, membrane [f] plasmique, membrane cellulaire, voire plasmalemme	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	けいしつまく、さいぼうまく、プラズマメンブレン	
jpn-Jpan-JP	形質膜、細胞膜、プラズマメンブレン	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	кле́точная мембра́на	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
