locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	电化学腐蚀	
cmn-Latn-CN	diànhuàxué fǔshí	
dan-Latn-DK		
deu-Latn-DE	Bimetallkorrosion, Kontaktkorrosion, galvanische Korrosion	
eng-Latn-US	bimetallic corrosion, dissimilar metal corrosion, galvanic corrosion 	
fin-Latn-FI		
fra-Latn-FR		
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	いしゅきんぞくせっしょくふしょく	
jpn-Jpan-JP	異種金属接触腐食	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
