locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	电荷守恒定律	
cmn-Latn-CN	diànhè shǒuhéng dìnglǜ	
dan-Latn-DK		
deu-Latn-DE	Ladungserhaltungssatz [m]	
eng-Latn-US	law of charge conservation	
fin-Latn-FI		
fra-Latn-FR	loi de conservation de la charge électrique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	でんかほぞんそく、でんきりょうほぞんそく	
jpn-Jpan-JP	電荷保存則、電気量保存則	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зако́н сохране́ния электри́ческого заря́да	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
