locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	_凝聚态物理学_
cmn-Latn-CN	_níngjùtài wùlǐxué_
dan-Latn-DK	
deu-Latn-DE	_Physik der kondensierten Materie_
eng-Latn-US	_condensed matter physics_
fin-Latn-FI	
fra-Latn-FR	_physique [f] de la matière condensée_
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	_ぶっせいぶつりがく_
jpn-Jpan-JP	_物性物理学_
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	_ква́нтовая макрофи́зика_, _фи́зика конденси́рованного состоя́ния_
spa-Latn-ES	
swe-Latn-SE	
tur-Latn-TR	
zxx-Zsym-ZZ	
