locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	额定电流	
cmn-Latn-CN	édìng diànliú	
dan-Latn-DK		
deu-Latn-DE	Nennstrom	
eng-Latn-US	ampacity, current-carrying capacity	
fin-Latn-FI		
fra-Latn-FR	courant admissible, courant permanent admissible	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	せきりょく、はんぱつりょく	
jpn-Jpan-JP	斥力、反発力	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR	جریان پذیری	
por-Latn-PT		
rus-Cyrl-RU		
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
