locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	安培环路定律	
cmn-Latn-CN	Ānpéi huánlù dìnglǜ	
dan-Latn-DK		
deu-Latn-DE	ampèresches Durchflutungsgesetz, ampèrescher Durchflutungssatz, ampèresches Gesetz	
eng-Latn-US	Ampère's circuital law	
fin-Latn-FI		
fra-Latn-FR	théorème d'Ampère	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	アンペールのほうそく	
jpn-Jpan-JP	アンペールの法則	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR	قانون آمپر	
por-Latn-PT		
rus-Cyrl-RU	теоре́ма о циркуля́ции магни́тного по́ля	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
